layer,rank,theta,score
7,16,0.15,0.1807133521252387
7,16,0.2,0.1891590665263968
7,16,0.25,0.19683364904011375
7,16,0.3,0.20421786286417648
7,16,0.6,0.2625358457180912
7,16,1.0,-0.6952471476660652
7,32,0.01,-0.46918599942377026
7,32,0.1,-0.4424450271058248
7,32,0.15,-0.4313285566804272
7,32,0.2,-0.42306506816428074
7,32,0.25,-0.41727881930476923
7,32,0.3,-0.4137009261435455
7,32,0.6,-0.428155605016527
7,32,1.0,-0.6952471476660652
7,64,0.01,0.6305257723631142
7,64,0.1,0.6390274917208584
7,64,0.15,0.6441182144314824
7,64,0.2,0.6494087465334953
7,64,0.25,0.6548253797380718
7,64,0.3,0.660292961420511
7,64,0.6,0.688354490547694
7,64,1.0,-0.6952471476660652
8,4,0.01,-2.006644718954425
8,4,0.1,-2.0109126458530993
8,4,0.15,-2.016390536359025
8,4,0.2,-2.051655267260431
8,4,0.25,-2.114365559286292
8,4,0.3,-2.2024836854951535
8,4,0.6,-2.5931945873566216
8,4,1.0,-3.785137061211288
8,8,0.01,-2.9731910983362297
8,8,0.1,-2.884275245603171
8,8,0.15,-2.8281379084227765
8,8,0.2,-2.7669026533056233
8,8,0.25,-2.7005685404857735
8,8,0.3,-2.6297857667302025
8,8,0.6,-2.2232299364280763
8,8,1.0,-3.785137061211288
8,16,0.01,-3.021485959055127
8,16,0.1,-3.085472191505334
8,16,0.15,-3.119647060403156
8,16,0.2,-3.151996322114458
8,16,0.25,-3.181805932948166
8,16,0.3,-3.206622077666984
8,16,0.6,-3.168661077661847
8,16,1.0,-3.785137061211288
8,32,0.01,-1.2093374029677757
8,32,0.1,-1.2317050963568266
8,32,0.15,-1.2452925331926945
8,32,0.2,-1.3433252475736106
8,32,0.25,-1.43254735651949
8,32,0.3,-1.468803088501375
8,32,0.6,-1.4938666300632506
8,32,1.0,-3.785137061211288
8,64,0.01,-1.7814245071243788
8,64,0.1,-1.8083228904364672
8,64,0.15,-1.8229149391826276
8,64,0.2,-1.8376463358588642
8,64,0.25,-1.85278159645341
8,64,0.3,-1.8686054826217724
8,64,0.6,-2.002985699591991
8,64,1.0,-3.785137061211288
9,4,0.01,0.22580587007366137
9,4,0.1,0.02770748922632582
9,4,0.15,-0.10791126236719856
9,4,0.2,-0.2518060437378848
9,4,0.25,-0.40346828661274836
9,4,0.3,-0.55370482622291
9,4,0.6,-1.2904200999653272
9,4,1.0,-2.327944651573944
9,8,0.01,-1.0199729422474337
9,8,0.1,-0.9793108217275639
9,8,0.15,-0.9443937043128519
9,8,0.2,-0.9031911509761392
9,8,0.25,-0.8455382812755126
9,8,0.3,-0.7661811952491416
9,8,0.6,-0.4370762929977773
9,8,1.0,-2.327944651573944
9,16,0.01,-1.7644273794999878
9,16,0.1,-1.8904149802356374
9,16,0.15,-1.9884655354299172
9,16,0.2,-2.1115556717014834
9,16,0.25,-2.258907395788326
9,16,0.3,-2.4215237845420385
9,16,0.6,-2.600659108928529
9,16,1.0,-2.327944651573944
9,32,0.01,-1.8922663313122245
9,32,0.1,-1.8658185349412062
9,32,0.15,-1.8557410468398925
9,32,0.2,-1.8476959611332064
9,32,0.25,-1.8412476325531977
9,32,0.3,-1.8361311355455328
9,32,0.6,-1.8269827644450825
9,32,1.0,-2.327944651573944
9,64,0.01,0.008308938145350053
9,64,0.1,-0.01047008955367179
9,64,0.15,-0.022043271649282214
9,64,0.2,-0.03458394598086545
9,64,0.25,-0.04821075826729415
9,64,0.3,-0.0631683318191345
9,64,0.6,-0.20094670680230564
9,64,1.0,-2.327944651573944
10,4,0.01,-4.675136388528649
10,4,0.1,-4.584784696663476
10,4,0.15,-4.518255283170093
10,4,0.2,-4.445907298712291
10,4,0.25,-4.368200734077317
10,4,0.3,-4.276428952499939
10,4,0.6,-2.6897006407119703
10,4,1.0,-1.2826210790817583
10,8,0.01,-4.64031126835499
10,8,0.1,-3.9958327047921918
10,8,0.15,-3.4182540137647086
10,8,0.2,-3.2796451750823574
10,8,0.25,-3.1738409852514464
10,8,0.3,-3.0743532786492844
10,8,0.6,-1.825073889414528
10,8,1.0,-1.2826210790817583
10,16,0.01,-4.476134924599005
10,16,0.1,-4.353883076394064
10,16,0.15,-4.277166995656197
10,16,0.2,-4.1876319507391
10,16,0.25,-4.0841301626163276
10,16,0.3,-3.9701226215977066
10,16,0.6,-3.7189732642266113
10,16,1.0,-1.2826210790817583
10,32,0.01,-2.7807563724867412
10,32,0.1,-2.7856234916382783
10,32,0.15,-2.7884896422181575
10,32,0.2,-2.7914508400310405
10,32,0.25,-2.7944737145845604
10,32,0.3,-2.797543731778668
10,32,0.6,-2.81069892377394
10,32,1.0,-1.2826210790817583
10,64,0.01,-3.854288744246134
10,64,0.1,-3.8370768972765226
10,64,0.15,-3.8280638062660426
10,64,0.2,-3.8193925241962092
10,64,0.25,-3.810998333063267
10,64,0.3,-3.8028279785943
10,64,0.6,-3.7492996461289687
10,64,1.0,-1.2826210790817583
11,4,0.01,-0.42724779406921387
11,4,0.1,-0.07315895620664259
11,4,0.15,0.12819004233533615
11,4,0.2,0.32884644948513664
11,4,0.25,0.5243987984578458
11,4,0.3,0.7063065894884044
11,4,0.6,1.841703503805945
11,4,1.0,4.1010220609354135
11,8,0.01,3.8782529921285582
11,8,0.1,3.9626095805544415
11,8,0.15,3.9939925663784264
11,8,0.2,4.026061738893171
11,8,0.25,4.082093463236707
11,8,0.3,4.1359575650411635
11,8,0.6,4.709529192406155
11,8,1.0,4.1010220609354135
11,16,0.01,2.7020468604522856
11,16,0.1,2.783655327284575
11,16,0.15,2.849862564224874
11,16,0.2,2.904812740599012
11,16,0.25,2.9507825375663206
11,16,0.3,2.9893460697142693
11,16,0.6,3.1652414998010143
11,16,1.0,4.1010220609354135
11,32,0.01,3.104031666006671
11,32,0.1,3.110909385251774
11,32,0.15,3.118020703702335
11,32,0.2,3.1259475923662245
11,32,0.25,3.134462053871693
11,32,0.3,3.1434996199533582
11,32,0.6,3.216984384094908
11,32,1.0,4.1010220609354135
11,64,0.01,1.9652529068603402
11,64,0.1,1.967861350243521
11,64,0.15,1.9697093077798193
11,64,0.2,1.9719247118478882
11,64,0.25,1.9745644324026737
11,64,0.3,1.9776981888975822
11,64,0.6,2.0133169087024343
11,64,1.0,4.1010220609354135
